@lat	@lon	name	tourism	historic	amenity
39.0137530	-7.0718176	Museu de Arte Sacra	museum		
39.0128152	-7.0718470	Lagar-Museu do Palácio Visconde d'Olivã	museum		
39.0789148	-7.0309841	Castelo de Ouguela		castle	
39.0124850	-7.0687570	Pelourinho de Campo Maior	attraction	pillory	
41.9472191	-8.7279504	Cervo	viewpoint		
37.1077607	-7.7828322		viewpoint		
40.6372639	-8.6487690	Cruzeiro	attraction		
39.3021991	-7.4485871	Cruz da Penha	viewpoint	wayside_cross	
39.0688056	-7.6523787		viewpoint		
39.3045216	-7.4236694	Miradouro da Serra	viewpoint		
39.2972311	-7.4420023		viewpoint		
39.2517592	-8.0028131		viewpoint		
39.2377366	-8.0040679		viewpoint		
39.0771703	-8.1873004		viewpoint		
39.1160425	-8.1478853	Azinheira das Bruxas	viewpoint		
38.9331101	-9.0399215		viewpoint		
40.3525577	-7.0932704		viewpoint		
39.6271610	-8.1619781	Miradouro do Penedo Furado	viewpoint		
38.6789213	-8.4575164	Museu da Escola Prática de Artilharia	museum		
41.7093737	-8.1862937	Miradouro Voltas de São Bento	viewpoint		
38.8830990	-9.1206337		viewpoint		
41.6871039	-8.4307430	Museu Pico de Regalados	museum		
38.8197709	-9.1890148		viewpoint		
37.2105577	-6.9294574	Monumento al Plus Ultra		monument	
39.4643548	-8.2021634		viewpoint		
39.1939393	-7.7874354		viewpoint		
39.4549033	-8.2394186		viewpoint		
39.2689418	-9.1552423	Museu Municipal do Bombarral	museum		
41.2828702	-7.4198744	Miradouro da Senhora da Cunha	viewpoint		
41.5507097	-8.4263478	Fonte dos Castelos	attraction	fountain	fountain
36.9968063	-6.5510697	Torre Almenara	museum		
39.9151282	-7.4546747	Museu do Canteiro	museum		
39.2966725	-8.6156068	Fonte da Barreira da Bica	attraction		
39.3171546	-8.6240325	Quinta da Faia	attraction		
39.3123532	-8.6259657	Quinta da Sobreira	attraction		
39.3123598	-8.6270359	Quinta de Nossa Senhora da Conceição	attraction		
39.3201343	-8.6212192	Quinta do Castilho	attraction		
39.3047699	-8.6286919	Quinta do Outeirão	attraction		
39.6030540	-8.4272902		viewpoint		
38.7953688	-9.3959387		viewpoint		
39.0108847	-9.1539956	Miradouro da Forca	viewpoint		
39.1703453	-8.7967915	Museu do Vinho	museum		
37.1983656	-8.9096478		viewpoint		
37.1983854	-8.9106235		viewpoint		
37.1975969	-8.9134969		viewpoint		
37.1974287	-8.9125869		viewpoint		
41.1048664	-6.7266286	Museo Casa de los Frailes	museum		
39.2391682	-8.6844146	Convento de São Francisco		monument	
40.6845261	-7.9632454	Crasto	viewpoint		
40.3581337	-7.3517846	Ecomuseu do Zêzere	museum		
40.3579702	-7.3515033	Museu dos Descobrimentos	museum		
42.0818064	-8.6808044	Miradoiro da Cruz	viewpoint		
42.0827977	-8.6831199	Miradoiro do Castelo	viewpoint		
41.5499891	-6.8770261	Museu Rural de Salselas	museum		
41.5599044	-6.8816274		museum		
38.4448892	-9.0998493	Museu do Mar	museum		
40.5538686	-7.4041490	Penha de Prados	viewpoint		
40.4946143	-7.3099191	Miradouro Hidrográfico das Três Bacias	viewpoint		
38.4438740	-9.1017112	Capela do Espírito Santo dos Mareantes	museum		
41.6847881	-7.1559081	Alto do Calvário	viewpoint		
41.6901701	-7.1600835	Fraga da Bandeira	viewpoint		
41.6767922	-7.1681474	Fraguedos do Alto dos Fornos	viewpoint		
41.7142445	-7.1692669	Lombo da Ponte	viewpoint		
39.3602256	-8.4771128		viewpoint		
39.5401713	-8.7526543	Grutas de Alvados	attraction		
39.4141109	-6.6957261	Centro de interpretación de la Mina Pastora	museum		
39.4240339	-6.6932371	Centro de Interpretacion del Tesoro de Aliseda	museum		
